10PercDim,ApplStandard,Brand,CompMinEng,Country,Dimmable,EnergyEffIndex_Det,Inputat25,LampRating,LampTypes,Model No,Family Name,N-Standard,Sold_in,StarterType,Submit_ID,SubmitStatus,TestCorInpPowerAvg,TestMethod,Type,Voltage,VoltageMax,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Rated Voltage,Class,Is the ballast part of an imported Luminaire,Imported Luminaire (Brand),Imported Luminaire (Model),Imported Luminaire (Other identifiers)
,AS/NZS 4783.2:2002,ECOLIFE,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,15,FD,YZ14E-4,,AS/NZS 4783.1:2001,"Australia,New Zealand",None,14225,Approved,16.5,Appendix C,Electronic,230.0,240.0,,,Class 3,Unavailable,,,230.0,A3,True,YANKON,MD SERIES/MQ SERIES/MX SERIES,T 5
,AS/NZS 4783.2:2002,ECOLIFE,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,18,FD,TOP 712-118,,AS/NZS 4783.1:2001,"Australia,New Zealand",None,14267,Approved,20.8,Appendix C,Electronic,230.0,240.0,,,Class 3,Unavailable,,,230.0,A3,True,ECOLIFE,28000,WP T8 118
,AS/NZS 4783.2:2002,ECOLIFE,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,2x18,FD,TOP 712-218,,AS/NZS 4783.1:2001,"Australia,New Zealand",None,14269,Approved,41.5,Appendix C,Electronic,230.0,240.0,,,Class 3,Unavailable,,,230.0,A3,True,ECOLIFE,28001,WP T8 218
,AS/NZS 4783.2:2002,AET ATEICO ENERGY SAVERS,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"30,36,32,38,40","FD-36-E-G13-26/1200,FD",APC401,,AS/NZS 4783.1:2001,"Australia,New Zealand",Rapid,21192,Approved,18.47,Appendix C,Electronic,220.0,250.0,,,Class 3,Unavailable,,,230.0,A2,False,Not applicable at this stage,As above,AS above
,AS/NZS 4783.2:2002,AET ATEICO ENERGY SAVERS,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"30,36,32,38,40","FD-36-E-G13-26/1200,FD",APC402,,AS/NZS 4783.1:2001,"Australia,New Zealand",Rapid,21192,Approved,18.47,Appendix C,Electronic,220.0,250.0,,,Class 3,Unavailable,,,230.0,A2,False,Not applicable at this stage,As above,AS above
,AS/NZS 4783.2:2002,AET ATEICO ENERGY SAVERS,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"30,36,32,38,40","FD-36-E-G13-26/1200,FD",APC403,,AS/NZS 4783.1:2001,"Australia,New Zealand",Rapid,21192,Approved,18.47,Appendix C,Electronic,220.0,250.0,,,Class 3,Unavailable,,,230.0,A2,False,Not applicable at this stage,As above,AS above
,AS/NZS 4783.2:2002,AET ATEICO ENERGY SAVERS,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"30,36,32,38,40","FD-36-E-G13-26/1200,FD",APC404 .............APC408,,AS/NZS 4783.1:2001,"Australia,New Zealand",Rapid,21192,Approved,18.47,Appendix C,Electronic,220.0,250.0,,,Class 3,Unavailable,,,230.0,A2,False,Not applicable at this stage,As above,AS above
,AS/NZS 4783.2:2002,AET ENERGY SAVING DEVICES,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"18,30,36,38,58",FD,APC 401,,AS/NZS 4783.1:2001,"Australia,Fiji,New Zealand",None,35068,Approved,18.47,Appendix C,Electronic,240.0,250.0,,,Class 3,Unavailable,,,240.0,A2,False,,,
,AS/NZS 4783.2:2002,AET ENERGY SAVING DEVICES,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"18,30,36,38,58",FD,APC 402,,AS/NZS 4783.1:2001,"Australia,Fiji,New Zealand",None,35068,Approved,18.47,Appendix C,Electronic,240.0,250.0,,,Class 3,Unavailable,,,240.0,A2,False,,,
,AS/NZS 4783.2:2002,AET ENERGY SAVING DEVICES,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"18,30,36,38,58",FD,APC 404,,AS/NZS 4783.1:2001,"Australia,Fiji,New Zealand",None,35068,Approved,18.47,Appendix C,Electronic,240.0,250.0,,,Class 3,Unavailable,,,240.0,A2,False,,,
,AS/NZS 4783.2:2002,AET ENERGY SAVING DEVICES,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"18,30,36,38,58",FD,APC 406,,AS/NZS 4783.1:2001,"Australia,Fiji,New Zealand",None,35068,Approved,18.47,Appendix C,Electronic,240.0,250.0,,,Class 3,Unavailable,,,240.0,A2,False,,,
,AS/NZS 4783.2:2002,AET ENERGY SAVING DEVICES,True,India,,3 Table 1 NZHB 4783.2 (Linear),,"18,30,36,38,58",FD,APC 408,,AS/NZS 4783.1:2001,"Australia,Fiji,New Zealand",None,35068,Approved,18.47,Appendix C,Electronic,240.0,250.0,,,Class 3,Unavailable,,,240.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 1/18 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 1/36 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 1/58 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 1/70 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 2/18 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 2/36 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 2/58 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 3/18 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
,AS/NZS 4783.2:2002,TRIDONIC,True,"China,Austria",,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,2x36,2x58,36,3x18,3x36,4x18,58,70",FD,PC 3/36 T8 PRO,PC T8 PRO,AS/NZS 4783.1:2001,"Australia,New Zealand",None,55350,Superseded,18.72,Appendix C,Electronic,230.0,240.0,,2013-10-23,Class 3,Unavailable,,,220.0,A2,False,,,
